version,study,contrast,hypothesis,weights,test,dz,target_power,n_participants,achieved_power,role,tost_power_mc,tost_mc_se,n_for_90pct_tost
2.0,1,C0_threshold_count1_vs_ge2,"P16 (stated, SIT)","[-1.0, 0.5, 0.5]","paired t, two-sided",0.2,0.8,199,0.8017,sensitivity,,,
2.0,1,C0_threshold_count1_vs_ge2,"P16 (stated, SIT)","[-1.0, 0.5, 0.5]","paired t, two-sided",0.2,0.9,265,0.9004,sensitivity,,,
2.0,1,C0_threshold_count1_vs_ge2,"P16 (stated, SIT)","[-1.0, 0.5, 0.5]","paired t, two-sided",0.3,0.8,90,0.8038,sensitivity,,,
2.0,1,C0_threshold_count1_vs_ge2,"P16 (stated, SIT)","[-1.0, 0.5, 0.5]","paired t, two-sided",0.3,0.9,119,0.9008,confirmatory,,,
2.0,1,C0_threshold_count1_vs_ge2,"P16 (stated, SIT)","[-1.0, 0.5, 0.5]","paired t, two-sided",0.4,0.8,52,0.8078,sensitivity,,,
2.0,1,C0_threshold_count1_vs_ge2,"P16 (stated, SIT)","[-1.0, 0.5, 0.5]","paired t, two-sided",0.4,0.9,68,0.9016,sensitivity,,,
2.0,1,C1a_compatible_vs_incompatible_at_count3,P23 (author-derived),"[-1.0, 0.5, 0.5]","paired t, two-sided",0.2,0.8,199,0.8017,sensitivity,,,
2.0,1,C1a_compatible_vs_incompatible_at_count3,P23 (author-derived),"[-1.0, 0.5, 0.5]","paired t, two-sided",0.2,0.9,265,0.9004,sensitivity,,,
2.0,1,C1a_compatible_vs_incompatible_at_count3,P23 (author-derived),"[-1.0, 0.5, 0.5]","paired t, two-sided",0.3,0.8,90,0.8038,sensitivity,,,
2.0,1,C1a_compatible_vs_incompatible_at_count3,P23 (author-derived),"[-1.0, 0.5, 0.5]","paired t, two-sided",0.3,0.9,119,0.9008,confirmatory,,,
2.0,1,C1a_compatible_vs_incompatible_at_count3,P23 (author-derived),"[-1.0, 0.5, 0.5]","paired t, two-sided",0.4,0.8,52,0.8078,sensitivity,,,
2.0,1,C1a_compatible_vs_incompatible_at_count3,P23 (author-derived),"[-1.0, 0.5, 0.5]","paired t, two-sided",0.4,0.9,68,0.9016,sensitivity,,,
2.0,1,C1b_linear_in_shared_pairs,exploratory (0/1/3 shared pairs),"[-1.3333, -0.3333, 1.6667]",paired t on the centred shared-pairs score,0.2,0.9,265,0.9004,exploratory,,,
2.0,1,C1b_omnibus_2df,exploratory (0/1/3 shared pairs),two orthogonal contrasts,"Hotelling T^2, F(2, N-2), effect on one direction",0.2,0.9,320,0.9006,exploratory,,,
2.0,1,C1b_linear_in_shared_pairs,exploratory (0/1/3 shared pairs),"[-1.3333, -0.3333, 1.6667]",paired t on the centred shared-pairs score,0.3,0.9,119,0.9008,exploratory,,,
2.0,1,C1b_omnibus_2df,exploratory (0/1/3 shared pairs),two orthogonal contrasts,"Hotelling T^2, F(2, N-2), effect on one direction",0.3,0.9,144,0.9008,exploratory,,,
2.0,1,C1b_linear_in_shared_pairs,exploratory (0/1/3 shared pairs),"[-1.3333, -0.3333, 1.6667]",paired t on the centred shared-pairs score,0.4,0.9,68,0.9016,exploratory,,,
2.0,1,C1b_omnibus_2df,exploratory (0/1/3 shared pairs),two orthogonal contrasts,"Hotelling T^2, F(2, N-2), effect on one direction",0.4,0.9,83,0.9033,exploratory,,,
2.0,1,C0_threshold_count1_vs_ge2,power at the fixed N,,,0.3,,119,0.9008,at_fixed_N,,,
2.0,1,C1a_compatible_vs_incompatible_at_count3,power at the fixed N,,,0.3,,119,0.9008,at_fixed_N,,,
2.0,1,C1b_linear_in_shared_pairs,power at the fixed N,,,0.2,,119,0.5808,at_fixed_N,,,
2.0,1,C1b_linear_in_shared_pairs,power at the fixed N,,,0.3,,119,0.9008,at_fixed_N,,,
2.0,1,C1b_linear_in_shared_pairs,power at the fixed N,,,0.4,,119,0.9911,at_fixed_N,,,
2.0,1,C1b_omnibus_2df,power at the fixed N,,,0.2,,119,0.4727,at_fixed_N,,,
2.0,1,C1b_omnibus_2df,power at the fixed N,,,0.3,,119,0.8326,at_fixed_N,,,
2.0,1,C1b_omnibus_2df,power at the fixed N,,,0.4,,119,0.978,at_fixed_N,,,
2.0,1,any_paired_contrast,minimum detectable dz at the fixed N,,paired t,0.2996,0.9,119,0.9,MDES,,,
2.0,1,C0_equivalence_count3_vs_count2,P16: no further increase beyond the trigger (true effect 0),"[0.0, -1.0, 1.0]","TOST, bounds +/-0.2 dz, alpha 0.05 each side",0.2,0.9,119,0.4,equivalence_at_fixed_N,0.3989,0.00109,272.0
2.0,1,C0_equivalence_count3_vs_count2,P16: no further increase beyond the trigger (true effect 0),"[0.0, -1.0, 1.0]","TOST, bounds +/-0.3 dz, alpha 0.05 each side",0.3,0.9,119,0.8924,equivalence_at_fixed_N,0.8919,0.00069,122.0
2.0,1,C0_equivalence_count3_vs_count2,P16: no further increase beyond the trigger (true effect 0),"[0.0, -1.0, 1.0]","TOST, bounds +/-0.4 dz, alpha 0.05 each side",0.4,0.9,119,0.9929,equivalence_at_fixed_N,0.9927,0.00019,70.0
